catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
ATL 498 / THR 498,Princeton Atelier: Maximizing the Minimal,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=003864,Class #22480,C01,W,01:30 pm - 04:20 pm,14/25,
ATL 499 / DAN 499 / THR 499 / VIS 499,Princeton Atelier: Fantasia! Fantasia!: Dance-Theatre-Media,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=003865,Class #21091,C01,M,01:30 pm - 04:20 pm,20-May,
BCS 101,Beginning Bosnian-Croatian-Serbian I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010395,Class #22620,C01,M T W Th,10:00 am - 10:50 am,15-May,
BCS 105,Intermediate Bosnian/Croatian/Serbian I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010623,Class #21081,C01,M W,01:30 pm - 02:50 pm,0/0,Canceled
CBE 245,Introduction to Chemical and Biochemical Engineering Principles,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001759,Class #20880,L01,M W F,09:00 am - 09:50 am,31/70,
CBE 250,Separations in Chemical Engineering and Biotechnology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008920,Class #20883,L01,M W F,09:00 am - 09:50 am,32/40,
CBE 262 / EGR 263,Fundamentals of Bioengineering,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013794,Class #20890,L01,M W,11:00 am - 12:20 pm,0/0,Canceled
CBE 341,"Mass, Momentum, and Energy Transport",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001764,Class #20884,L01,M W,01:30 pm - 02:50 pm,32/40,
CBE 351,Junior Independent Work,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001771,Class #20879,C01,TBA,,10-Jul,
CBE 411 / MOL 411,Antibiotics: From Cradle to Grave,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015629,Class #22504,L01,T Th,09:30 am - 10:50 am,48/48,Closed
CBE 415 / CHM 415 / MSE 425,Polymers,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001775,Class #20888,L01,T Th,11:00 am - 12:20 pm,19/40,
CBE 442,"Design, Synthesis, and Optimization of Chemical Processes",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001784,Class #20887,L01,T Th,03:00 pm - 04:20 pm,23/25,
CBE 451,Senior Independent Work,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001793,Class #20889,C01,TBA,,0/2,
CBE 503 / MSE 521,Advanced Thermodynamics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001799,Class #22766,L01,M W F,10:30 am - 11:50 am,22/35,
CBE 504,Chemical Reactor Engineering,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001800,Class #22769,L01,M W F,09:00 am - 10:20 am,15/35,
CBE 507,Research Topics in Chemical & Biological Engineering,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013320,Class #22770,S01,M W,01:00 pm - 02:20 pm,18/50,
CBE 517,Soft Matter Mechanics:  Fundamentals & Applications,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015139,Class #22775,L01,T Th,01:30 pm - 02:50 pm,30-Dec,
CEE 102A / EGR 102A / MAE 102A,Engineering in the Modern World,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008721,Class #21731,L01,M W,11:00 am - 11:50 am,33/120,
CEE 102B / EGR 102B / MAE 102B,Engineering in the Modern World,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008724,Class #21737,L01,M W,11:00 am - 11:50 am,45/120,
CEE 205,Mechanics of Solids,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007944,Class #21741,L01,,,23/50,
CEE 207 / ENV 207,Introduction to Environmental Engineering,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007948,Class #21728,L01,,,40/45,
CEE 334 / SPI 452 / ENV 334 / ENE 334,Global Environmental Issues,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010733,Class #21747,L01,M W,03:00 pm - 04:20 pm,28/30,
CEE 361 / MAE 325 / MSE 331,Matrix Structural Analysis and Introduction to Finite-Element Methods,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007953,Class #21744,L01,T,07:30 pm - 10:20 pm,25/40,
CEE 366,Design of Reinforced Concrete Structures,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007957,Class #21746,L01,T Th,04:30 pm - 05:50 pm,18/40,
CEE 375,Independent Study,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007960,Class #21831,S01,TBA,,10-Mar,
CEE 440,Elements of Conceptual Design and Analysis of Structures,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015712,Class #22749,L01,M W,08:30 am - 09:50 am,15/20,
CEE 471 / GEO 471 / URB 471,Introduction to Water Pollution Technology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007964,Class #21729,L01,T Th,08:30 am - 09:50 am,23/25,
CEE 474,"Special Topics in Civil and Environmental Engineering: The Climatological, Hydrological & Environmental Footprints of Cities",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007966,Class #22653,L01,T Th,11:00 am - 12:20 pm,25-Feb,
CEE 507,Independent Study I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007971,Class #21832,S01,TBA,,0/10,
CEE 508,Independent Study II,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007972,Class #22992,S01,TBA,,0/8,
CEE 509,Directed Research,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007973,Class #21833,S01,TBA,,15-Feb,
CEE 510,Research Seminar,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007974,Class #21834,S01,TBA,,30-May,
CEE 525,Applied Numerical Methods,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=009240,Class #23011,L01,M W,01:30 pm - 02:50 pm,0/0,Canceled
CEE 538 / ART 538,Holistic Analysis of Heritage Structures,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014302,Class #21750,L01,M W,03:00 pm - 04:20 pm,0/0,Canceled
CEE 540,Special Topics in MMS: Non-linear Analysis of Prestressed Structural Systems,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=008072,Class #21751,L01,M W,09:00 am - 10:20 am,0/0,Canceled
CEE 564 / ENE 564,"Biology, Electrochemistry and Technology",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015338,Class #21752,L01,T Th,11:00 am - 12:20 pm,20-Oct,
CEE 575,Interfacial Waters in Natural Systems,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015715,Class #22805,L01,M W,09:00 am - 10:20 am,0/0,Canceled
CEE 587 / ENV 587,Ecohydrology,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=007990,Class #21730,L01,M W,11:00 am - 12:20 pm,15-May,
CEE 593 / AOS 593,Aerosol Chemistry and Physics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011693,Class #21748,L01,W,01:30 pm - 04:20 pm,10-Sep,
CEE 596,Extramural Research Project,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=012711,Class #21835,L01,TBA,,0/1,
CHI 101,Elementary Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001064,Class #21840,C01,M T W Th F,09:00 am - 09:50 am,10-Jul,
CHI 101,Elementary Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001064,Class #21841,C02,M T W Th F,10:00 am - 10:50 am,10-Jul,
CHI 101,Elementary Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001064,Class #22105,C02A,M T W Th F,10:00 am - 10:50 am,10-Jul,
CHI 101,Elementary Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001064,Class #21845,C03,M T W Th F,11:00 am - 11:50 am,10-May,
CHI 101,Elementary Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001064,Class #21842,C04,M T W Th F,12:30 pm - 01:20 pm,10-Oct,Closed
CHI 101,Elementary Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001064,Class #22106,C04A,M T W Th F,12:30 pm - 01:20 pm,10-Jun,
CHI 103,Intensive Elementary Chinese,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001066,Class #21846,C01,M T W Th F,09:00 am - 09:50 am,10-Apr,
CHI 103,Intensive Elementary Chinese,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001066,Class #21847,C02,M T W Th F,10:00 am - 10:50 am,10-Jul,
CHI 103,Intensive Elementary Chinese,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001066,Class #21851,C03,M T W Th F,11:00 am - 11:50 am,0/0,Canceled
CHI 103,Intensive Elementary Chinese,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001066,Class #21848,C04,M T W Th F,12:30 pm - 01:20 pm,10-May,
CHI 105,Intermediate Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001067,Class #21852,C01,M T W Th F,09:00 am - 09:50 am,10-May,
CHI 105,Intermediate Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001067,Class #21853,C02,M T W Th F,10:00 am - 10:50 am,10-Sep,
CHI 105,Intermediate Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001067,Class #21854,C03,M T W Th F,11:00 am - 11:50 am,10-Jul,
CHI 105,Intermediate Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001067,Class #21855,C04,M T W Th F,12:30 pm - 01:20 pm,10-Sep,
CHI 105,Intermediate Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001067,Class #21858,C05,M T W Th F,01:30 pm - 02:20 pm,10-Feb,
CHI 301,Introduction to Classical Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001070,Class #21859,C01,M,12:30 pm - 01:20 pm,30-Nov,
CHI 303,Third-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010087,Class #21864,C01,M T W Th,09:00 am - 09:50 am,10-Jun,
CHI 303,Third-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010087,Class #21865,C02,M T W Th,10:00 am - 10:50 am,10-Jun,
CHI 303,Third-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010087,Class #21882,C03,M T W Th,12:30 pm - 01:20 pm,10-Apr,
CHI 303,Third-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010087,Class #24170,C03A,M T W Th,12:30 pm - 01:20 pm,10-May,
CHI 305,Intensive Third-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010088,Class #21869,C01,M T W Th,09:00 am - 09:50 am,10-Jun,
CHI 305,Intensive Third-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010088,Class #21870,C02,M T W Th,10:00 am - 10:50 am,10-Aug,
CHI 305,Intensive Third-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010088,Class #21871,C03,M T W Th,12:30 pm - 01:20 pm,10-May,
CHI 403,Fourth-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010089,Class #21883,C01,M T W Th,09:00 am - 09:50 am,10-May,
CHI 403,Fourth-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010089,Class #21884,C02,M T W Th,10:00 am - 10:50 am,10-Apr,
CHI 403,Fourth-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010089,Class #21885,C03,M T W Th,12:30 pm - 01:20 pm,10-Jul,
CHI 405,Intensive Fourth-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010110,Class #21874,C01,M T W Th,09:00 am - 09:50 am,10-Mar,
CHI 405,Intensive Fourth-Year Modern Chinese I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010110,Class #21875,C02,M T W Th,12:30 pm - 01:20 pm,10-Sep,
CHI 411 / EAS 411,Readings in Modern Chinese Intellectual History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001082,Class #21877,C01,M,03:30 pm - 04:20 pm,26/32,
CHI1002,Introductory Chinese II,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015634,Class #22512,C01,M W F,09:00 am - 09:50 am,0/10,
CHI1002,Introductory Chinese II,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015634,Class #22513,C02,M W F,12:30 pm - 01:20 pm,10-Jul,
CHI1002,Introductory Chinese II,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015634,Class #24215,C03,M W F,01:30 pm - 02:20 pm,10-Apr,
CHM 201,General Chemistry I,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000975,Class #20436,L01,T Th,11:00 am - 12:20 pm,195/230,
CHM 207,Advanced General Chemistry: Materials Chemistry,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000981,Class #20458,L01,,,133/140,
CHM 215,Advanced General Chemistry: Honors Course,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000983,Class #23166,L01,M W F,09:00 am - 09:50 am,32/36,
CHM 301,Organic Chemistry I: Biological Emphasis,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000986,Class #20473,L01,,,175/240,
CHM 305,The Quantum World,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000991,Class #20548,L01,T Th,11:00 am - 12:20 pm,23/40,
CHM 337,Organic Chemistry: Bioengineering Emphasis,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014740,Class #20496,L01,T Th,09:30 am - 10:50 am,15/18,
CHM 371,Experimental Chemistry,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000998,Class #20484,L01,T Th,10:00 am - 10:50 am,0/0,Canceled
CHM 373,Analytical Methods and Experimental Design,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015771,Class #23356,L01,T Th,01:30 pm - 02:50 pm,28/32,
CHM 403,Advanced Biochemistry,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001001,Class #20486,L01,M W,11:00 am - 12:20 pm,13/25,
CHM 411,Inorganic Chemistry: Structure and Reactivity,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000994,Class #22128,L01,,,35/42,
CHM 440 / GHP 440,Drug Discovery in the Genomics Era,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011131,Class #20552,L01,M W,03:00 pm - 04:20 pm,77/81,
CHM 500A,Responsible Conduct of Research in Chemistry (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011469,Class #20582,L01,M,09:00 am - 12:00 pm,15-Nov,
CHM 500B,Responsible Conduct of Research in Chemistry (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011470,Class #20564,L01,W,09:00 am - 12:00 pm,13/15,
CHM 500C,Responsible Conduct of Research in Chemistry (Half-Term),https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=011471,Class #20565,L01,M,09:00 am - 12:00 pm,15-Dec,
CHM 501,Basic Principles of Quantum Mechanics,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=001007,Class #20583,L01,M W,08:30 am - 09:50 am,14-Sep,
